time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	Temperature(°C)	Version()	Battery level(%)
2024-9-12 11:44:26:829	HC-06(3AA59A817180)	-0.063	0.074	1.024	7.507	-4.517	4.028	3.98	3.38	94.16	33.7	18217	75
2024-9-12 11:44:26:831	HC-06(3AA59A817180)	-0.063	0.083	1.021	8.301	-4.150	2.502	4.06	3.35	94.19	33.7	18217	75
2024-9-12 11:44:26:832	HC-06(3AA59A817180)	-0.057	0.083	1.021	8.301	-4.150	2.502	4.14	3.31	94.21	33.7	18217	75
2024-9-12 11:44:26:859	HC-06(3AA59A817180)	-0.057	0.086	1.027	10.498	-4.089	1.648	4.24	3.27	94.22	33.7	18217	75
2024-9-12 11:44:26:861	HC-06(3AA59A817180)	-0.060	0.086	1.027	10.498	-4.089	1.648	4.35	3.24	94.24	33.7	18217	75
2024-9-12 11:44:26:862	HC-06(3AA59A817180)	-0.060	0.089	1.023	12.817	-4.578	1.160	4.47	3.20	94.25	33.7	18217	75
2024-9-12 11:44:26:863	HC-06(3AA59A817180)	-0.063	0.089	1.023	12.817	-4.578	1.160	4.59	3.15	94.25	33.7	18217	75
2024-9-12 11:44:26:918	HC-06(3AA59A817180)	-0.063	0.095	1.017	14.404	-5.371	1.160	4.73	3.10	94.26	33.7	18217	75
2024-9-12 11:44:26:920	HC-06(3AA59A817180)	-0.059	0.095	1.017	14.404	-5.371	1.160	4.87	3.05	94.27	33.7	18217	75
2024-9-12 11:44:26:920	HC-06(3AA59A817180)	-0.059	0.098	1.019	15.930	-6.409	0.427	5.03	2.99	94.27	33.7	18217	75
2024-9-12 11:44:26:923	HC-06(3AA59A817180)	-0.065	0.098	1.019	15.930	-6.409	0.427	5.72	2.72	94.22	33.7	18217	75
2024-9-12 11:44:26:949	HC-06(3AA59A817180)	-0.062	0.093	1.015	20.081	-8.606	-0.854	5.92	2.65	94.21	33.7	18217	75
2024-9-12 11:44:26:950	HC-06(3AA59A817180)	-0.062	0.098	1.009	19.226	-10.864	-0.916	6.10	2.55	94.19	33.7	18217	75
2024-9-12 11:44:26:951	HC-06(3AA59A817180)	-0.059	0.098	1.009	19.226	-10.864	-0.916	6.28	2.45	94.17	33.7	18217	75
2024-9-12 11:44:26:951	HC-06(3AA59A817180)	-0.059	0.108	1.012	17.334	-13.489	-0.427	6.44	2.32	94.15	33.7	18217	75
2024-9-12 11:44:26:952	HC-06(3AA59A817180)	-0.063	0.108	1.012	17.334	-13.489	-0.427	7.01	1.56	94.07	33.7	18217	75
2024-9-12 11:44:26:987	HC-06(3AA59A817180)	-0.063	0.125	1.037	8.850	-20.203	1.465	7.09	1.37	94.06	33.7	18217	75
2024-9-12 11:44:26:988	HC-06(3AA59A817180)	-0.049	0.125	1.037	8.850	-20.203	1.465	7.64	0.37	93.97	33.7	18217	75
2024-9-12 11:44:26:988	HC-06(3AA59A817180)	-0.049	0.113	1.017	16.968	-23.499	0.183	7.79	0.15	93.94	33.7	18217	75
2024-9-12 11:44:27:68	HC-06(3AA59A817180)	-0.044	0.113	1.017	16.968	-23.499	0.183	8.13	-0.28	93.88	33.7	18217	75
2024-9-12 11:44:27:69	HC-06(3AA59A817180)	-0.047	0.129	1.015	18.311	-24.475	0.671	8.30	-0.50	93.86	33.7	18217	75
2024-9-12 11:44:27:85	HC-06(3AA59A817180)	0.001	0.148	1.015	19.958	-25.024	0.977	8.49	-0.73	93.83	33.7	18217	75
2024-9-12 11:44:27:100	HC-06(3AA59A817180)	0.001	0.131	0.954	28.870	-30.396	2.075	10.42	-2.73	93.69	33.7	18217	75
2024-9-12 11:44:27:100	HC-06(3AA59A817180)	0.004	0.131	0.954	28.870	-30.396	2.075	10.69	-3.00	93.66	33.7	18217	75
2024-9-12 11:44:27:102	HC-06(3AA59A817180)	0.004	0.162	0.970	23.926	-32.593	1.831	10.91	-3.30	93.62	33.7	18217	75
2024-9-12 11:44:27:102	HC-06(3AA59A817180)	0.042	0.162	0.970	23.926	-32.593	1.831	11.13	-3.59	93.58	33.7	18217	75
2024-9-12 11:44:27:103	HC-06(3AA59A817180)	0.074	0.158	0.989	23.926	-32.593	1.831	11.13	-3.59	93.58	33.6	18217	75
2024-9-12 11:44:27:159	HC-06(3AA59A817180)	0.074	0.200	0.983	32.471	-45.654	6.531	13.47	-6.93	93.36	33.7	18217	75
2024-9-12 11:44:27:161	HC-06(3AA59A817180)	0.079	0.200	0.983	32.471	-45.654	6.531	13.47	-6.93	93.36	33.7	18217	75
2024-9-12 11:44:27:162	HC-06(3AA59A817180)	0.110	0.215	0.960	33.081	-47.546	7.263	14.40	-8.25	93.24	33.7	18217	75
2024-9-12 11:44:27:164	HC-06(3AA59A817180)	0.110	0.250	0.945	28.625	-49.255	9.033	15.24	-9.64	93.14	33.7	18217	75
2024-9-12 11:44:27:167	HC-06(3AA59A817180)	0.144	0.250	0.945	28.625	-49.255	9.033	15.52	-10.10	93.10	33.7	18217	75
2024-9-12 11:44:27:398	HC-06(3AA59A817180)	0.144	0.285	0.939	26.672	-48.523	9.827	15.77	-10.55	93.07	33.7	18217	75
2024-9-12 11:44:27:399	HC-06(3AA59A817180)	0.156	0.285	0.939	26.672	-48.523	9.827	16.02	-11.01	93.04	33.7	18217	75
2024-9-12 11:44:27:400	HC-06(3AA59A817180)	0.156	0.325	0.945	24.231	-49.011	12.878	16.25	-11.48	93.03	33.7	18217	75
2024-9-12 11:44:27:401	HC-06(3AA59A817180)	0.164	0.325	0.945	24.231	-49.011	12.878	16.48	-11.94	93.02	33.7	18217	75
2024-9-12 11:44:27:518	HC-06(3AA59A817180)	0.164	0.293	0.933	23.926	-50.598	14.343	16.70	-12.43	93.02	33.7	18217	75
2024-9-12 11:44:27:729	HC-06(3AA59A817180)	0.229	0.293	0.933	21.606	-50.537	14.343	17.34	-13.88	93.00	33.7	18217	75
2024-9-12 11:44:27:730	HC-06(3AA59A817180)	0.229	0.327	0.921	22.156	-46.631	16.663	17.55	-14.34	93.03	33.7	18217	75
2024-9-12 11:44:27:731	HC-06(3AA59A817180)	0.252	0.327	0.921	22.156	-46.631	16.663	17.75	-14.79	93.05	33.7	18217	75
2024-9-12 11:44:27:732	HC-06(3AA59A817180)	0.252	0.351	0.914	20.020	-43.945	18.799	17.92	-15.23	93.10	33.7	18217	75
2024-9-12 11:44:27:733	HC-06(3AA59A817180)	0.280	0.351	0.914	20.020	-43.945	18.799	18.11	-15.67	93.15	33.7	18217	75
2024-9-12 11:44:27:759	HC-06(3AA59A817180)	0.280	0.332	0.913	15.503	-43.030	16.663	18.25	-16.09	93.18	33.7	18217	75
2024-9-12 11:44:27:939	HC-06(3AA59A817180)	0.328	0.332	0.913	15.503	-43.030	16.663	18.39	-16.52	93.21	33.7	18217	75
2024-9-12 11:44:27:940	HC-06(3AA59A817180)	0.328	0.336	0.915	11.536	-40.710	16.296	18.49	-16.92	93.25	33.7	18217	75
2024-9-12 11:44:27:943	HC-06(3AA59A817180)	0.363	0.336	0.915	11.536	-40.710	16.296	18.59	-17.33	93.27	33.7	18217	75
2024-9-12 11:44:27:944	HC-06(3AA59A817180)	0.363	0.347	0.924	10.986	-35.706	14.954	18.69	-17.69	93.31	33.7	18217	75
2024-9-12 11:44:27:999	HC-06(3AA59A817180)	0.402	0.347	0.924	10.986	-35.706	14.954	18.79	-18.05	93.35	33.7	18217	75
2024-9-12 11:44:28:0	HC-06(3AA59A817180)	0.402	0.323	0.899	12.207	-31.982	10.010	18.91	-18.36	93.34	33.7	18217	75
2024-9-12 11:44:28:2	HC-06(3AA59A817180)	0.419	0.323	0.899	12.207	-31.982	10.010	19.04	-18.68	93.33	33.7	18217	75
2024-9-12 11:44:28:3	HC-06(3AA59A817180)	0.436	0.333	0.854	6.714	-28.687	0.122	19.36	-19.51	93.17	33.7	18217	75
